序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,000001,平安银行,2025年报及2026一季报点评：收入利润增速均回正,中性,国信证券,1,2.08,5.3,2.09,5.3,2.11,5.2,银行Ⅱ,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821586763_1.pdf
2,000001,平安银行,2025年报点评：资产质量压力减轻,中性,国信证券,1,2.08,5.2,2.09,5.1,2.11,5.1,银行Ⅱ,2026-03-22,https://pdf.dfcfw.com/pdf/H3_AP202603221820687530_1.pdf
3,000001,平安银行,2025年三季报点评：三季度息差阶段企稳，资产质量总体平稳,买入,东兴证券,1,2.24,5.17,2.32,4.98,,,银行Ⅱ,2025-10-28,https://pdf.dfcfw.com/pdf/H3_AP202510281770514161_1.pdf
4,000001,平安银行,2025年三季报点评：息差环比回升，资产质量平稳,中性,国信证券,1,2.04,5.7,2.07,5.6,,,银行Ⅱ,2025-10-26,https://pdf.dfcfw.com/pdf/H3_AP202510261769278155_1.pdf
5,000001,平安银行,2025年半年报点评：盈利降幅收窄，零售资产质量改善,买入,东兴证券,1,2.24,5.56,2.32,5.37,,,银行Ⅱ,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735342281_1.pdf
6,000001,平安银行,2025年中报点评：收入利润降幅收窄，资产质量稳定,中性,国信证券,1,,,,,,,银行Ⅱ,2025-08-24,https://pdf.dfcfw.com/pdf/H3_AP202508241733444225_1.pdf
7,000001,平安银行,2024年年报点评：结构优化见效，风险处置有力,买入,民生证券,1,,,,,,,银行Ⅱ,2025-03-18,https://pdf.dfcfw.com/pdf/H3_AP202503181644529525_1.pdf
8,000001,平安银行,点评报告：结构调整持续，资产质量指标变动不大,增持,万联证券,1,2.38,5.03,2.53,4.73,,,银行Ⅱ,2025-03-18,https://pdf.dfcfw.com/pdf/H3_AP202503181644488421_1.pdf
9,000001,平安银行,贷款结构优化，营收降幅收窄,中性,国信证券,1,,,,,,,银行Ⅱ,2025-03-16,https://pdf.dfcfw.com/pdf/H3_AP202503161644416306_1.pdf
10,000001,平安银行,2024年三季报点评：零售业务调优结构，存款成本持续改善,买入,东兴证券,1,2.6,4.54,,,,,银行Ⅱ,2024-10-22,https://pdf.dfcfw.com/pdf/H3_AP202410221640398395_1.pdf
11,000001,平安银行,2024年三季报点评：持续优化贷款业务结构,中性,国信证券,1,2.47,4.9,,,,,银行Ⅱ,2024-10-20,https://pdf.dfcfw.com/pdf/H3_AP202410201640374148_1.pdf
12,000001,平安银行,2024年三季报点评：息差降幅收窄，利润维持正增,买入,民生证券,1,,,,,,,银行Ⅱ,2024-10-19,https://pdf.dfcfw.com/pdf/H3_AP202410191640373303_1.pdf
13,000001,平安银行,点评报告：调整业务结构 公布中期分红,增持,万联证券,1,2.54,3.94,,,,,银行Ⅱ,2024-08-19,https://pdf.dfcfw.com/pdf/H3_AP202408191639329854_1.pdf
14,000001,平安银行,2024年半年报点评：净利润保持正增长，中期分红方案落地,买入,东兴证券,1,2.6,3.85,,,,,银行Ⅱ,2024-08-19,https://pdf.dfcfw.com/pdf/H3_AP202408191639328390_1.pdf
15,000001,平安银行,2024年中报点评：非息收入增长亮眼,中性,国信证券,1,,,,,,,银行Ⅱ,2024-08-16,https://pdf.dfcfw.com/pdf/H3_AP202408161639304268_1.pdf
16,000001,平安银行,2024年半年报点评：持续调整结构，宣布中期分红,买入,民生证券,1,,,,,,,银行Ⅱ,2024-08-16,https://pdf.dfcfw.com/pdf/H3_AP202408161639302707_1.pdf
17,000001,平安银行,2024年一季报点评：其他非息表现亮眼，拨备反哺利润正增,买入,东兴证券,1,2.68,3.99,,,,,银行Ⅱ,2024-04-22,https://pdf.dfcfw.com/pdf/H3_AP202404221630972416_1.pdf
18,000001,平安银行,2024年一季报点评：息差拖累营收，加大不良处置,增持,国信证券,1,,,,,,,银行Ⅱ,2024-04-21,https://pdf.dfcfw.com/pdf/H3_AP202404211630895710_1.pdf
19,000001,平安银行,2024年一季报点评：主动调整结构，扩张节奏放缓,买入,民生证券,1,,,,,,,银行Ⅱ,2024-04-20,https://pdf.dfcfw.com/pdf/H3_AP202404201630803966_1.pdf
20,000001,平安银行,2023年年报点评：分红比例超预期，主动降低信用风险偏好,买入,东兴证券,1,2.68,3.96,,,,,银行Ⅱ,2024-03-18,https://pdf.dfcfw.com/pdf/H3_AP202403181626972107_1.pdf
21,000001,平安银行,点评报告：分红率提升,增持,万联证券,1,2.5,4.09,,,,,银行Ⅱ,2024-03-15,https://pdf.dfcfw.com/pdf/H3_AP202403151626835968_1.pdf
22,000001,平安银行,2023年年报点评：积极调整信贷结构，财富业务基础夯实,买入,民生证券,1,2.91,4.0,,,,,银行Ⅱ,2024-03-15,https://pdf.dfcfw.com/pdf/H3_AP202403151626825162_1.pdf
23,000001,平安银行,2023年报点评：调降信用风险偏好，经营更稳健,增持,国信证券,1,2.67,3.8,,,,,银行Ⅱ,2024-03-15,https://pdf.dfcfw.com/pdf/H3_AP202403151626825160_1.pdf
24,000001,平安银行,点评报告：信贷结构持续调整，零售中间业务保持高增,增持,万联证券,1,,,,,,,银行Ⅱ,2023-10-26,https://pdf.dfcfw.com/pdf/H3_AP202310261604019504_1.pdf
25,000001,平安银行,资产质量平稳，私行业务表现亮眼,买入,东兴证券,1,,,,,,,银行Ⅱ,2023-10-26,https://pdf.dfcfw.com/pdf/H3_AP202310261603795901_1.pdf
26,000001,平安银行,盈利增速放缓，业务转型持续,增持,中银证券,1,,,,,,,银行Ⅱ,2023-10-26,https://pdf.dfcfw.com/pdf/H3_AP202310251603496389_1.pdf
27,000001,平安银行,2023年三季报点评：私行业务亮眼，中收稳步修复,买入,民生证券,1,,,,,,,银行Ⅱ,2023-10-25,https://pdf.dfcfw.com/pdf/H3_AP202310241602964805_1.pdf
